50 50 50 49 50 50 51 51 50 50 50 50 51 50 50 49 49 50 50 50 50 50 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 50 51 51 51 51 51 51 50 51 50 51 51 51 51 51 51 51 51 51 51 51 51 50 51 51 52 52 52 51 51 51 51 52 52 54 54 55 54 54 54 55 55 55 55 55 55 55 55 55 55 55 54 55 55 55 55 56 56 56 56 57 56 56 57 57 57 57 57 57 57 57 57 57 57 57 57 57 58 58 58 58 58 59 59 59 59 58 58 59 59 59 58 58 59 59 60 61 60 60 59 59 60 61 61 61 62 62 61 61 62 63 64 64 64 64 63 63 64 64 64 65 65 64 63 64 64 50 50 50 50 50 50 49 49 49 49 49 48 48 49 49 49 49 49 49 48 47 47 48 48 49 49 49 50 50 50 51 51 52 52 52 52 52 51 51 51 50 51 51 51 52 52 52 52 52 51 52 52 52 51 52 52 52 52 52 52 52 52 52 52 52 52 52 52 53 53 52 52 52 52 52 52 52 52 52 53 53 53 53 52 51 51 52 52 52 52 53 52 52 52 53 53 53 53 54 53 53 52 52 52 52 52 51 51 51 50 50 51 51 51 51 51 50 50 50 50 50 50 50 50 50 50 49 49 49 49 49 50 49 49 49 50 50 50 50 50 50 50 50 50 51 51 51 52 52 52 53 53 53 54 55 54 53 53 52 51 51 51 51 51 51 51 52 51 51 51 50 50 51 51 51 51 51 51 50 50 50 50 51 51 51 51 50 50 50 51 51 51 51 50 50 50 50 50 49 49 50 50 50 50 50 50 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 50 51 51 51 52 53 52 52 52 52 51 52 54 54 55 55 55 55 55 55 56 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 56 56 56 56 56 57 56 56 57 57 56 57 57 57 57 58 58 57 57 57 58 58 58 58 58 59 59 59 59 58 58 59 58 58 59 59 60 60 60 61 60 60 59 60 60 61 60 61 62 61 61 62 62 63 64 64 64 63 63 63 64 64 65 64 64 64 63 64 64 64 50 50 50 50 50 50 49 49 49 49 49 49 49 49 49 49 49 49 48 47 48 49 49 49 49 49 50 50 50 50 51 52 52 52 52 52 52 52 51 51 52 51 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 53 53 53 53 53 52 52 52 53 53 53 52 53 53 53 53 53 53 53 53 53 53 53 53 53 52 51 51 52 51 52 52 52 52 52 52 53 53 53 53 52 52 52 51 51 52 52 51 51 51 50 51 51 51 51 51 51 51 50 50 50 50 50 49 50 50 49 49 49 50 50 50 50 50 49 49 49 50 50 50 50 50 50 50 50 51 51 51 52 52 52 53 53 53 53 54 54 53 52 51 51 51 51 51 51 51 52 51 51 51 51 51 50 50 50 51 51 50 51 51 50 50 50 50 51 51 50 51 51 51 51 51 51 51 50 50 50 50 50 50 50 50 50 50 50 50 50 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 50 51 51 51 52 52 53 53 52 52 52 53 54 54 55 55 55 55 55 55 55 56 55 55 55 55 55 55 55 55 55 55 55 55 55 55 56 56 56 56 56 56 56 56 56 56 57 57 57 57 58 58 58 57 57 58 58 58 58 58 59 59 58 58 59 58 58 58 59 59 59 59 60 60 60 60 60 59 60 60 60 60 61 61 61 61 61 62 63 63 63 63 63 63 63 64 64 65 64 64 63 63 63 64 64 51 51 51 51 51 50 50 49 50 50 50 50 49 48 48 48 48 48 49 48 48 48 49 49 49 50 50 49 50 50 51 52 52 52 52 52 52 52 52 52 52 52 52 52 53 52 52 52 52 52 52 52 52 52 52 52 52 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 52 52 51 51 52 52 53 53 52 52 52 53 53 53 53 52 52 52 52 51 52 52 51 51 51 51 51 51 51 51 51 50 50 50 50 50 50 50 50 49 50 50 49 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 51 51 52 52 52 52 52 53 53 53 53 53 52 52 52 52 52 51 51 51 51 51 51 51 50 51 50 50 50 50 50 50 50 50 50 50 50 51 51 50 51 51 51 51 52 51 51 51 50 50 50 50 50 50 50 50 50 50 50 50 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 52 52 52 52 52 51 51 51 51 51 52 52 53 53 53 53 52 54 54 54 54 55 55 55 55 55 55 55 55 55 55 55 55 56 56 56 55 55 55 55 55 56 56 56 56 56 56 56 56 56 56 57 57 57 57 57 57 57 58 58 58 57 58 58 58 58 58 59 59 58 58 58 59 59 59 59 60 60 60 60 60 60 60 60 60 60 60 61 61 61 60 61 61 62 62 62 63 63 64 63 63 63 64 65 65 65 64 63 63 64 64 65 51 51 51 50 50 50 50 50 50 49 48 48 48 48 49 49 49 49 48 49 49 49 49 50 50 50 51 51 52 51 51 52 52 53 53 52 52 52 52 52 52 53 53 53 53 53 53 53 53 52 52 52 52 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 54 53 53 53 53 53 54 53 53 53 52 52 52 52 52 53 52 53 53 53 53 53 52 52 52 52 52 52 52 52 51 51 51 51 51 52 52 51 51 51 50 50 50 51 51 50 50 50 50 50 50 50 50 50 51 50 50 50 50 50 50 50 50 50 50 50 51 51 51 51 51 52 52 51 51 52 52 53 53 52 52 52 53 52 52 52 52 51 51 51 52 52 52 51 51 51 51 51 50 51 51 50 51 51 51 50 50 50 50 51 51 51 51 51 52 51 51 51 51 51 50 50 50 50 50 50 50 50 50 50 52 52 52 52 51 51 51 52 51 51 51 52 52 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 52 52 52 52 52 52 52 51 51 51 51 52 52 52 52 52 52 53 53 54 54 54 54 55 55 55 55 55 55 55 55 55 55 56 56 56 56 56 55 55 55 55 55 56 56 56 56 56 56 56 56 56 56 57 57 57 57 57 57 57 57 58 58 57 58 58 58 58 58 59 59 58 58 59 59 59 59 59 60 60 61 61 61 60 60 60 60 60 60 60 61 61 61 61 62 61 61 61 62 63 64 63 63 63 64 64 64 65 64 64 63 64 64 65 65 51 51 51 51 51 50 49 48 49 49 49 49 49 49 49 49 49 49 49 49 50 50 50 51 51 51 51 51 52 52 53 52 52 52 52 52 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 54 54 54 54 54 54 54 54 54 54 54 54 53 53 53 52 52 52 52 52 52 53 53 53 53 53 52 52 52 52 52 52 52 52 51 51 51 51 51 51 51 52 51 51 50 50 50 50 50 51 51 50 50 50 50 50 50 51 51 50 50 50 50 50 50 50 50 50 51 51 51 51 51 51 51 51 51 51 52 52 52 52 52 52 52 52 52 53 53 52 52 52 52 51 52 52 52 51 51 52 52 51 51 51 51 51 51 52 52 51 50 50 51 51 51 51 51 51 51 51 51 51 51 51 51 50 51 50 50 50 50 50 50 50 52 52 52 52 52 52 52 52 51 52 51 51 52 52 52 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 51 51 51 51 51 51 51 51 51 51 51 51 52 52 52 52 52 52 52 53 53 53 52 52 52 51 51 52 52 52 52 52 52 53 55 54 54 54 55 55 55 55 55 55 55 55 55 55 56 56 56 56 55 55 55 55 55 55 56 56 56 56 56 56 56 56 56 56 56 56 57 57 57 57 57 57 57 58 57 58 58 58 58 59 59 58 58 58 59 59 59 59 59 59 60 60 61 61 60 61 61 61 61 61 60 60 61 61 62 61 61 61 61 62 63 64 63 63 63 64 64 64 65 64 63 63 64 64 64 65 51 51 50 49 49 49 49 49 50 49 49 49 49 49 50 49 50 50 50 50 50 51 51 51 52 52 53 53 53 52 52 52 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 54 53 53 53 53 53 54 54 54 54 54 54 54 54 54 54 54 54 54 54 53 52 52 52 52 52 52 52 53 53 53 53 53 53 52 52 53 52 52 52 52 51 51 51 51 51 51 51 51 52 51 51 51 51 50 50 50 51 51 50 50 50 51 51 51 51 51 50 51 51 50 50 50 50 50 50 50 50 50 51 51 51 51 51 51 52 52 52 52 52 51 52 52 52 52 53 53 53 52 52 51 51 52 52 51 51 52 52 51 51 52 52 52 52 52 51 51 51 51 51 50 50 51 51 50 50 50 51 51 51 51 51 51 51 50 50 50 50 50 50 50 52 52 52 52 52 52 52 52 51 51 51 51 51 52 52 52 52 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 51 51 51 51 51 52 52 52 52 53 52 52 53 53 53 53 53 53 52 52 52 52 52 52 52 52 53 52 53 53 55 55 55 55 55 55 55 55 55 55 55 55 56 55 55 56 56 57 56 55 55 55 55 55 55 56 56 56 56 56 56 56 56 56 56 56 56 57 57 57 57 57 57 57 57 57 57 58 58 58 59 59 58 58 59 59 59 59 59 60 60 60 60 61 61 61 61 62 61 61 61 60 60 60 60 61 61 61 62 62 63 64 64 63 63 63 63 64 64 64 64 63 64 64 64 65 65 66 51 50 49 50 50 50 50 50 50 50 49 49 49 49 49 49 49 50 50 51 51 51 52 52 52 52 53 52 52 52 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 54 53 53 53 53 53 53 53 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 53 53 53 52 52 52 53 53 53 53 53 53 53 53 53 53 53 52 52 52 51 51 51 51 51 51 51 51 51 52 51 51 51 51 51 50 50 50 50 50 50 50 50 51 51 51 51 51 51 51 51 51 50 50 50 50 51 51 51 52 51 52 52 52 52 52 52 52 52 51 51 52 52 52 52 53 53 53 52 52 52 52 52 52 52 53 53 52 53 52 52 52 52 52 52 51 51 52 52 51 50 50 50 50 50 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 52 52 52 52 52 52 51 52 52 52 51 51 51 52 52 52 51 51 51 51 51 52 52 52 52 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 53 53 53 53 53 52 53 53 52 52 52 52 52 52 52 52 53 53 53 53 53 55 56 56 55 55 55 55 55 55 55 55 55 55 55 55 56 56 57 57 56 55 55 55 55 56 56 56 56 56 56 56 56 56 56 56 57 57 57 57 57 57 57 57 58 57 57 57 57 57 58 58 58 58 59 59 59 59 59 59 59 60 60 60 60 60 61 61 61 61 62 62 61 61 60 60 60 61 61 62 62 62 63 64 64 63 63 63 64 64 64 63 63 64 64 64 65 65 66 66 66 51 50 51 50 50 49 50 50 50 49 50 51 51 51 50 49 50 50 51 51 52 53 52 52 52 52 53 53 53 53 53 53 53 53 53 53 54 54 54 54 54 54 54 53 53 54 54 54 53 54 53 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 53 53 53 53 53 52 53 53 53 53 54 54 54 54 53 53 53 53 52 51 51 51 52 52 51 51 51 51 52 52 52 52 51 51 50 50 51 51 50 51 51 51 51 51 51 52 52 52 51 51 51 50 50 50 51 51 52 52 52 52 52 52 52 52 52 52 52 52 51 51 52 53 52 52 53 53 52 52 52 52 52 52 52 52 52 53 53 53 52 52 52 52 53 52 51 52 52 52 51 51 50 50 50 50 50 50 51 51 50 51 51 51 51 51 51 51 51 51 51 52 52 52 52 52 52 52 52 52 52 52 51 52 51 51 51 51 51 51 52 52 52 52 52 52 52 51 51 51 51 51 52 51 51 52 51 51 51 51 51 51 51 51 51 51 51 51 51 51 51 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 53 53 53 53 52 52 52 52 52 52 52 53 52 53 53 53 53 53 53 53 55 55 57 57 57 56 56 55 55 55 55 55 55 55 55 55 56 56 57 57 57 56 56 55 56 56 56 56 56 56 56 56 56 57 57 57 57 57 57 58 58 58 58 58 58 58 58 58 58 58 58 58 58 59 59 59 59 59 59 60 60 60 60 60 60 60 60 60 61 62 62 62 62 62 61 61 60 60 61 61 62 62 63 64 64 63 63 63 64 64 63 64 64 65 65 65 65 65 66 66 65 52 51 50 50 50 50 50 50 50 50 50 51 52 51 50 50 51 51 52 52 52 53 52 52 52 52 52 53 53 54 54 54 54 53 53 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 55 55 54 53 53 53 53 53 53 53 53 53 54 54 54 54 54 54 53 54 53 53 52 52 52 52 52 52 52 51 52 52 52 52 52 52 51 51 51 51 52 51 51 51 51 52 52 52 52 52 52 51 51 51 51 50 50 51 51 51 51 51 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 53 53 53 52 52 52 52 52 52 53 53 53 53 53 52 52 51 52 52 51 52 52 52 52 51 51 50 51 51 50 50 50 50 50 51 51 51 52 51 51 51 51 51 51 52 52 52 52 52 52 52 52 52 52 52 52 51 51 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 51 51 51 51 51 51 51 51 51 51 51 51 51 51 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 53 53 53 52 52 52 53 53 53 53 53 53 53 53 53 53 53 53 53 55 55 56 57 58 58 57 56 56 56 56 56 55 56 56 56 56 57 58 58 57 56 56 55 55 56 56 57 57 57 56 57 57 57 57 57 57 57 58 58 58 58 59 59 60 60 59 59 59 58 58 58 58 58 59 59 59 59 59 60 60 60 60 61 61 61 61 60 61 61 61 61 62 62 62 62 62 61 61 61 61 61 63 63 64 64 63 63 64 63 63 64 65 65 65 64 65 65 66 66 65 66 66 66 66 66 66 52 51 51 51 50 50 50 50 50 50 51 51 51 50 50 50 50 52 51 51 51 52 51 52 52 52 52 52 53 54 54 54 54 54 54 54 55 55 55 54 54 54 54 54 54 54 54 54 54 54 55 55 54 54 54 54 54 54 54 55 55 55 55 55 54 54 55 55 54 54 54 55 55 55 54 54 54 54 53 53 52 52 52 53 54 54 54 54 54 53 53 54 54 53 52 52 52 52 52 52 52 52 52 52 52 52 52 52 51 51 51 51 51 52 51 51 52 52 52 52 52 51 51 51 51 51 51 51 50 50 51 51 51 51 52 52 53 52 52 52 52 52 52 52 52 53 53 52 53 53 54 53 53 52 52 52 52 53 53 53 53 54 53 53 53 53 52 52 51 52 53 53 52 52 51 51 51 51 52 51 51 51 50 50 51 51 51 51 52 51 51 51 51 51 52 52 52 52 52 53 53 52 52 52 52 52 51 51 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 53 52 52 52 52 52 52 51 52 51 51 52 52 51 51 51 51 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 53 53 53 53 53 53 53 53 53 53 53 53 53 54 54 53 53 53 53 55 55 55 56 56 56 57 57 57 57 56 56 56 56 56 56 56 56 57 58 58 57 56 56 56 56 56 56 57 57 57 57 57 57 57 57 58 58 58 58 59 59 59 59 60 60 60 60 60 60 59 59 59 59 59 59 59 59 60 60 60 60 60 61 61 61 61 61 61 61 61 61 61 62 62 63 62 62 62 62 61 62 63 63 63 64 63 63 64 64 63 64 65 65 65 64 64 65 65 65 65 65 65 66 65 66 66 66 66 52 52 52 52 51 51 51 51 50 50 50 50 50 50 50 51 51 51 51 51 51 52 52 52 53 53 53 53 53 54 54 55 55 55 55 55 54 54 54 54 54 54 55 55 55 55 55 55 55 55 55 55 54 54 54 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 54 55 55 55 54 54 53 53 53 52 53 53 54 54 53 53 53 54 54 54 53 52 52 52 52 52 52 52 52 52 52 52 52 52 51 51 52 52 51 52 52 52 52 52 52 52 52 52 52 51 51 51 51 51 51 50 50 51 51 51 51 52 52 52 52 52 52 52 52 52 53 53 53 53 53 53 53 54 53 53 52 52 53 53 53 53 54 53 53 53 54 53 53 52 52 52 53 53 53 52 52 51 51 52 52 52 51 51 51 51 51 50 51 51 51 51 51 51 51 51 53 53 53 53 53 53 53 52 52 52 52 52 52 51 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 53 53 53 52 52 52 52 51 52 51 52 52 52 52 52 52 52 51 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 53 53 53 52 52 52 52 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 54 54 54 54 55 55 56 56 56 56 56 56 58 59 58 58 57 56 56 56 56 56 57 59 58 58 56 56 56 56 56 56 57 57 58 57 57 57 57 57 58 58 58 59 59 60 60 60 60 59 60 60 60 60 60 60 60 60 60 60 59 59 59 60 60 60 60 61 61 61 62 62 62 62 62 61 61 61 62 62 62 62 62 62 62 62 62 63 63 64 64 64 63 63 63 64 65 65 65 64 65 65 65 65 65 64 65 65 65 66 66 67 67 67 67 52 52 51 51 51 51 51 51 51 50 51 52 52 52 52 53 53 53 53 53 53 53 53 54 54 54 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 54 54 53 53 52 52 53 54 54 53 53 53 53 53 53 52 52 52 53 53 52 52 52 52 52 52 52 52 51 52 52 52 52 52 52 52 52 53 52 52 52 51 51 51 51 51 51 51 52 51 51 51 51 52 52 51 52 53 52 52 53 53 53 53 53 53 53 52 53 53 53 53 53 53 53 52 53 53 54 54 53 53 53 53 53 54 53 53 52 52 53 53 53 52 52 51 51 52 52 53 52 52 51 51 51 51 51 51 51 51 51 51 51 51 53 53 53 53 53 53 52 52 52 52 52 52 52 52 52 52 52 52 53 52 52 52 53 53 52 52 52 52 52 52 52 53 53 53 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 54 53 53 53 53 53 53 54 54 56 55 56 56 56 57 56 56 57 58 60 60 59 57 57 57 56 57 58 59 59 59 57 56 56 56 56 57 57 57 58 58 58 58 58 58 58 58 59 59 59 59 60 60 60 59 60 59 59 59 59 60 60 60 60 60 60 60 60 60 60 60 60 61 61 61 61 62 62 62 62 62 62 62 62 62 62 61 61 62 62 62 62 62 63 63 64 64 63 63 64 64 65 65 64 64 65 65 65 65 64 64 65 64 65 66 66 66 67 67 53 53 52 52 51 51 51 51 51 51 52 52 52 52 52 52 53 52 53 53 53 53 54 54 55 55 55 55 55 55 55 55 55 55 55 55 56 55 55 55 56 56 56 56 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 56 56 55 55 55 55 55 55 55 55 55 55 55 54 53 52 52 52 53 53 53 52 52 53 52 52 52 52 53 53 53 53 53 53 52 52 52 52 52 52 52 52 53 53 52 52 53 53 53 52 52 51 51 52 52 51 52 52 52 52 51 51 51 51 51 52 52 52 52 52 53 53 53 52 52 52 53 53 53 53 53 54 54 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 52 52 52 53 53 53 52 52 51 52 52 53 52 52 52 51 51 52 52 51 51 51 51 51 51 51 53 53 53 53 53 53 53 53 53 52 52 52 52 52 52 52 52 52 53 53 53 52 53 53 52 52 52 52 52 52 52 53 53 53 53 53 52 52 53 52 52 52 52 53 53 53 53 52 52 52 52 52 52 52 52 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 54 54 54 54 54 54 54 53 53 53 53 54 55 56 56 56 56 56 56 56 56 57 59 60 60 60 60 59 58 57 59 60 60 59 58 58 57 57 56 57 57 57 58 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 59 60 60 60 60 60 60 60 60 60 60 60 60 61 61 61 61 61 61 62 62 62 63 63 63 63 63 62 62 61 62 62 62 62 62 62 63 64 63 63 64 65 64 64 64 64 65 65 65 65 64 64 64 64 65 65 65 66 66 52 53 52 52 52 52 52 52 52 52 53 53 54 54 54 54 54 55 55 55 56 55 55 55 55 56 55 55 56 56 56 55 56 56 56 56 56 56 55 55 55 55 55 55 55 55 56 55 55 55 55 55 55 56 56 55 55 55 55 55 55 56 56 55 55 56 55 55 55 54 54 53 53 52 52 52 52 52 52 52 52 52 52 52 53 53 53 53 53 53 52 52 52 52 52 52 52 52 53 53 52 52 53 53 53 53 52 52 52 52 52 52 53 53 52 51 51 51 51 52 52 52 52 52 53 53 53 52 52 52 53 53 53 53 54 54 54 54 53 54 54 54 53 53 53 53 54 54 54 53 52 52 52 52 52 53 54 54 53 52 52 52 52 52 53 53 52 52 52 51 52 52 51 51 51 51 51 51 51 52 53 53 53 52 52 53 52 52 52 52 52 52 52 52 52 52 53 53 53 53 53 53 53 52 52 52 52 52 53 53 53 53 53 53 53 53 52 53 53 52 52 52 53 54 53 53 52 52 53 53 52 52 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 54 54 54 54 54 54 54 54 54 54 54 54 54 53 54 54 54 54 56 55 56 56 56 56 56 56 56 56 57 58 60 60 60 60 60 59 60 60 60 60 60 59 58 57 56 56 57 57 58 58 59 60 60 60 60 60 60 60 60 59 59 59 59 59 59 60 60 60 60 60 60 60 60 60 60 60 60 60 61 61 61 61 60 61 61 61 61 61 61 62 62 62 63 63 63 63 62 62 62 62 62 62 62 62 62 62 63 63 64 64 64 64 64 64 65 65 65 65 65 64 65 65 65 65 66 66 66 52 53 53 52 53 53 53 54 54 54 55 55 54 54 55 55 55 55 55 55 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 55 55 56 56 56 56 56 56 56 56 55 55 56 56 55 55 55 56 56 56 56 55 55 55 55 55 56 56 55 55 55 55 55 54 53 53 54 54 53 53 51 52 52 52 52 53 53 53 53 53 53 52 52 52 52 52 52 52 52 52 53 53 53 53 53 53 53 52 53 53 52 52 52 52 52 52 51 51 52 52 51 52 52 52 52 53 53 52 52 53 53 53 53 53 53 53 54 54 54 54 55 54 54 53 54 53 54 54 54 53 53 53 54 54 53 52 53 53 53 53 53 53 52 52 53 54 53 53 53 52 52 52 52 52 51 51 52 51 51 51 52 53 53 53 52 52 52 52 52 52 52 52 52 52 53 53 53 53 53 53 53 53 53 52 52 52 53 53 53 53 53 53 53 53 53 54 54 53 53 53 53 52 52 53 54 53 53 53 54 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 54 54 54 54 53 53 53 53 53 54 54 54 54 54 54 54 54 55 55 55 54 54 54 54 54 55 56 56 56 56 56 56 56 57 57 56 57 57 59 60 60 60 60 60 60 60 60 60 60 60 59 58 58 57 57 57 57 58 58 59 60 60 60 60 60 60 60 60 60 59 59 59 59 60 60 60 60 60 60 60 60 60 60 60 61 61 61 61 61 61 61 61 61 61 61 61 61 61 62 62 62 63 63 63 63 63 62 62 62 62 62 62 62 62 62 62 63 63 63 64 64 64 64 65 65 65 64 64 65 64 65 65 65 65 66 66 52 53 53 53 54 53 53 54 55 55 55 55 54 54 55 56 55 55 55 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 56 55 56 56 56 56 55 55 55 55 55 56 56 56 56 56 56 56 56 55 55 55 54 54 54 54 52 52 52 52 53 53 53 53 53 53 53 53 52 53 53 53 52 53 53 53 53 53 53 54 54 53 53 53 53 53 53 52 53 53 52 52 52 52 52 52 52 52 52 52 53 53 53 52 52 53 53 53 53 53 53 54 54 54 54 55 55 55 54 54 54 54 54 54 54 54 54 54 54 54 53 53 52 53 53 53 54 54 53 53 53 54 54 53 52 52 52 52 52 52 52 52 52 51 51 51 52 52 52 52 52 52 52 52 52 52 52 52 52 53 53 53 53 53 53 53 53 53 53 53 53 52 53 53 53 53 53 52 53 53 53 54 54 54 54 53 53 53 53 53 54 54 53 54 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 53 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 54 55 55 55 55 55 55 55 55 54 54 55 54 56 56 56 56 56 56 57 57 57 57 57 57 58 59 60 61 61 61 60 60 60 60 60 60 59 59 59 58 57 57 58 58 58 58 59 59 60 60 60 60 60 60 60 60 60 60 60 60 60 60 60 60 60 60 60 61 61 61 61 61 61 61 61 61 61